pair_id,endpoint,mof_id,mode,pressure_pa,n_replicates,mean,between_seed_sd,between_seed_se,unit,mean_energy_total_per_co2_K,sd_energy_total_per_co2_K,mean_energy_vdw_per_co2_K,sd_energy_vdw_per_co2_K,mean_energy_coulomb_per_co2_K,sd_energy_coulomb_per_co2_K
A4,A,DB0-m2_o6_o27_f0_nbo.sym.30,gcmc_1bar,100000.0,3,0.9377243000000001,0.0013242050332180327,0.0007645301323906885,mol/kg,-1012.5275097299813,8.364967171538595,-768.315434102038,6.305902908225255,-244.2120755142817,2.0662993951085062
A4,A,DB0-m2_o6_o27_f0_nbo.sym.30,henry_chargeoff,,3,6.733885333333333e-06,6.419669955171816e-09,3.7063981767270007e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A4,A,DB0-m2_o6_o27_f0_nbo.sym.30,henry_full,,3,9.028731e-06,7.879266722861943e-08,4.549096763461203e-08,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A4,B,DB0-m3_o6_o27_f0_nbo.sym.33,gcmc_0p1bar,10000.0,3,0.14719953333333333,0.0008469357846574612,0.0004889786032583122,mol/kg,-1534.5887091700258,9.180922086775752,-724.4292276193294,12.930123015408745,-810.1594816457556,10.017088616682825
A4,B,DB0-m3_o6_o27_f0_nbo.sym.33,gcmc_1bar,100000.0,3,1.4299893333333333,0.004939000134980111,0.002851533057458365,mol/kg,-1496.1467517172346,2.757143072463311,-730.3026211993493,3.3908798516223193,-765.8441226676865,5.111626755230243
A4,B,DB0-m3_o6_o27_f0_nbo.sym.33,henry_chargeoff,,3,6.688215e-06,4.6136020634641145e-09,2.6636643932748194e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A4,B,DB0-m3_o6_o27_f0_nbo.sym.33,henry_full,,3,1.4650133333333334e-05,4.66951805043447e-07,2.6959475034041576e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B1,A,DB0-m3_o14_o22_f0_nbo.sym.46,gcmc_0p1bar,10000.0,3,0.32046783333333334,0.004140895459116703,0.002390747108007128,mol/kg,-2300.0665203017147,6.924882487128575,-1484.7939002883027,10.379902582628864,-815.2724677696502,9.42228126280481
B1,A,DB0-m3_o14_o22_f0_nbo.sym.46,gcmc_1bar,100000.0,3,2.8880546666666667,0.012279899402410917,0.007089803225603468,mol/kg,-2190.992259572428,6.4809830902102235,-1465.6031468329336,5.162649978174264,-725.3890573690085,5.862495069965138
B1,A,DB0-m3_o14_o22_f0_nbo.sym.46,henry_chargeoff,,3,1.2594836666666667e-05,7.2264813936892e-09,4.172210977940282e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B1,A,DB0-m3_o14_o22_f0_nbo.sym.46,henry_full,,3,2.9945980000000003e-05,2.20846438488376e-06,1.2750575071083402e-06,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B1,B,DB0-m3_o1_o9_f0_nbo.sym.133,gcmc_0p1bar,10000.0,3,0.16064523333333333,0.0013975488590147105,0.0008068752099577974,mol/kg,-2043.5374938313985,17.964338578368817,-1146.5098985182854,4.213565879537928,-897.0275229900066,14.29477230653732
B1,B,DB0-m3_o1_o9_f0_nbo.sym.133,gcmc_1bar,100000.0,3,1.50152,0.010751206629955563,0.006207212041918134,mol/kg,-1956.0854068510084,3.2923230128854692,-1144.025492744868,1.1129148680404262,-812.0599947885547,4.404608701329031
B1,B,DB0-m3_o1_o9_f0_nbo.sym.133,henry_chargeoff,,3,6.375977666666666e-06,1.225672588146317e-08,7.0764239870462154e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B1,B,DB0-m3_o1_o9_f0_nbo.sym.133,henry_full,,3,1.576558e-05,8.778327629451976e-07,5.068169819898829e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B2,A,DB1-Zn2O8N2-AZO_A-BDC_A_No205,gcmc_0p1bar,10000.0,3,0.16144450000000002,0.0005445016345246352,0.00031436816526698937,mol/kg,-2009.5572717671726,14.33200199207428,-1763.8765404089672,9.814817833917667,-245.68081291162574,5.727082706182268
B2,A,DB1-Zn2O8N2-AZO_A-BDC_A_No205,gcmc_1bar,100000.0,3,1.5120263333333333,0.010097878060926166,0.0058300126167197385,mol/kg,-1929.7767526546725,3.2056339619764436,-1710.8286220014957,1.1352753497758576,-218.94810548952933,2.360797859355746
B2,A,DB1-Zn2O8N2-AZO_A-BDC_A_No205,henry_chargeoff,,3,1.2594946666666666e-05,1.28010207926299e-08,7.39067280052687e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B2,A,DB1-Zn2O8N2-AZO_A-BDC_A_No205,henry_full,,3,1.60051e-05,9.757671033602277e-08,5.633593997914089e-08,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B2,B,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,gcmc_0p1bar,10000.0,3,0.16446596666666666,0.003337046002579725,0.001926644407887569,mol/kg,-1974.8693868247703,7.108281304625981,-1797.3562865497527,2.079456327321214,-177.5130035213056,5.150434245562423
B2,B,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,gcmc_1bar,100000.0,3,1.5072943333333333,0.0013643475852338043,0.0007877064456029529,mol/kg,-1889.1850639947436,3.565907901049189,-1725.6479067684793,4.052393645539036,-163.5372900743592,1.4537506807811724
