selection_category,Di_fraction_of_caliper,Df_fraction_of_caliper,Dif_fraction_of_caliper,Density_fraction_of_caliper,UC_volume_fraction_of_caliper,AVAf_fraction_of_caliper,POAVAf_fraction_of_caliper,maximum_fraction_of_caliper
cu_zn_pressure_exception,0.8421358251548156,0.5386358832068966,0.1036215052932687,0.4986857018113066,0.6095932640625199,0.1286666666666658,0.0,0.8421358251548156
functional_motif_example,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.4493025945629137
near_null_comparison,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.1473333333333326
process_discordant_comparison,0.6881192878692985,0.0877506197586949,0.6881192878692985,0.0045841656510444,0.7901356923800409,0.6193333333333328,0.2499999999999984,0.7901356923800409
strong_linker_process_aligned,0.8966675970468596,0.4894681525413436,0.8966675970468596,0.5498825905367385,0.344422272640299,0.6700000000000003,0.3833333333333355,0.8966675970468596
strong_metal_process_aligned,0.6053075717861089,0.3959965678975478,0.6035409616315213,0.5537935659159674,0.5981622833990502,0.6659999999999999,0.4499999999999985,0.6659999999999999
