mof_id,element,is_metal,atom_rows,charge_mean,charge_median,charge_std,charge_min,charge_max,occupancy_weighted_charge_sum
DB0-m2_o23_o28_f0_nbo.sym.21,C,False,232,0.06325140086206896,-0.091091,0.37349551706282197,-0.470846,0.91757,14.674325
DB0-m2_o23_o28_f0_nbo.sym.21,Cu,True,12,1.037058,1.009497,0.05031986422875167,0.996822,1.104982,12.444696
DB0-m2_o23_o28_f0_nbo.sym.21,H,False,160,0.075405525,0.060069,0.05606724857114886,-0.036923,0.1621,12.064884
DB0-m2_o23_o28_f0_nbo.sym.21,N,False,8,-0.1257015,-0.1257145,0.01883610086281887,-0.143353,-0.108022,-1.005612
DB0-m2_o23_o28_f0_nbo.sym.21,O,False,64,-0.596535796875,-0.6184395,0.05154988045871002,-0.656966,-0.509095,-38.178291
DB0-m2_o23_o28_f0_nbo.sym.4,C,False,228,0.06590691228070175,-0.09368199999999999,0.3855598243788271,-0.465022,0.887748,15.026776
DB0-m2_o23_o28_f0_nbo.sym.4,Cu,True,12,1.02874425,0.9932245,0.05615291398271329,0.988215,1.104803,12.344930999999999
DB0-m2_o23_o28_f0_nbo.sym.4,H,False,152,0.07938930921052632,0.067419,0.055281055213933894,-0.075653,0.164926,12.067175
DB0-m2_o23_o28_f0_nbo.sym.4,N,False,8,-0.1354045,-0.13535,0.016190551953884358,-0.150701,-0.120222,-1.083236
DB0-m2_o23_o28_f0_nbo.sym.4,O,False,64,-0.59930703125,-0.620827,0.05153117269294498,-0.66145,-0.506,-38.35565
DB0-m2_o6_o27_f0_nbo.sym.30,C,False,160,0.12560164375,-0.1318925,0.4730925862269828,-0.512589,1.035302,20.096263
DB0-m2_o6_o27_f0_nbo.sym.30,Cu,True,12,0.993256,0.9856075,0.011304269080951036,0.985593,1.008599,11.919072
DB0-m2_o6_o27_f0_nbo.sym.30,H,False,80,0.19129695,0.14733849999999998,0.09066122547012202,0.075037,0.324803,15.303756
DB0-m2_o6_o27_f0_nbo.sym.30,N,False,32,-0.5437645625,-0.5438395,0.17812589348365615,-0.719118,-0.368278,-17.400466
DB0-m2_o6_o27_f0_nbo.sym.30,O,False,48,-0.6233047916666666,-0.6286769999999999,0.0454046036052669,-0.675463,-0.565772,-29.91863
DB0-m2_o7_o7_f0_nbo.sym.45,C,False,192,0.03954188020833333,-0.001191,0.27372979596120806,-0.294508,0.498227,7.592041
DB0-m2_o7_o7_f0_nbo.sym.45,Cu,True,12,0.7828461666666667,0.782841,3.5316319517215703e-05,0.782799,0.782937,9.394154
DB0-m2_o7_o7_f0_nbo.sym.45,H,False,48,0.08609618749999999,0.0861075,2.4943046828853968e-05,0.086039,0.086122,4.132617
DB0-m2_o7_o7_f0_nbo.sym.45,I,False,48,0.003252145833333333,0.003249,1.2083027631251514e-05,0.003229,0.00328,0.156103
DB0-m2_o7_o7_f0_nbo.sym.45,O,False,48,-0.4432274375,-0.443225,3.3296799571451686e-05,-0.443347,-0.443164,-21.274917
DB0-m3_o11_o17_f0_pcu.sym.32,C,False,26,0.056297653846153844,-0.015824,0.35359498113575566,-0.339634,0.871247,1.463739
DB0-m3_o11_o17_f0_pcu.sym.32,H,False,15,0.15429386666666664,0.142377,0.04954122097357291,0.109529,0.288501,2.314408
DB0-m3_o11_o17_f0_pcu.sym.32,N,False,3,0.05578299999999999,-0.218356,0.5886726066252785,-0.345823,0.731528,0.16734899999999997
DB0-m3_o11_o17_f0_pcu.sym.32,O,False,10,-0.606526,-0.6426510000000001,0.1038206698441543,-0.695444,-0.403683,-6.06526
DB0-m3_o11_o17_f0_pcu.sym.32,Zn,True,2,1.0598805,1.0598805,0.04711664615080318,1.026564,1.093197,2.119761
DB0-m3_o12_o20_f0_pcu.sym.24,C,False,16,0.16340875,0.027528,0.39704092306268207,-0.317877,0.966119,2.61454
DB0-m3_o12_o20_f0_pcu.sym.24,H,False,4,0.2054695,0.21140599999999998,0.05111060222367434,0.147202,0.251864,0.821878
DB0-m3_o12_o20_f0_pcu.sym.24,N,False,6,0.363376,0.5810759999999999,0.4419349207243076,-0.20386,0.714338,2.180256
DB0-m3_o12_o20_f0_pcu.sym.24,O,False,16,-0.4777655625,-0.4463735,0.1595758972927799,-0.703752,-0.286026,-7.644249
DB0-m3_o12_o20_f0_pcu.sym.24,Zn,True,2,1.013788,1.013788,0.0069763155031865075,1.008855,1.018721,2.027576
DB0-m3_o152_o155_f0_fsc.sym.27,C,False,48,0.041702125,-0.011644999999999999,0.3263546325381838,-0.322665,0.910508,2.001702
DB0-m3_o152_o155_f0_fsc.sym.27,H,False,20,0.17360285,0.148727,0.07722482246782339,0.10851,0.391599,3.472057
DB0-m3_o152_o155_f0_fsc.sym.27,N,False,2,0.1806035,0.1806035,0.005394517633672169,0.176789,0.184418,0.361207
DB0-m3_o152_o155_f0_fsc.sym.27,O,False,12,-0.65973225,-0.7042885,0.09406600319033724,-0.755393,-0.527538,-7.916787
