intervention,geometry_variable,chemistry_pairs,control_pairs,global_smd,absolute_global_smd,mixed_cells_with_estimable_smd,median_cell_smd,median_absolute_cell_smd,maximum_absolute_cell_smd,fraction_cells_abs_smd_below_0_10,fraction_cells_abs_smd_below_0_20
linker_family_change,Di_diff,9006,4585,0.3360318565572159,0.3360318565572159,42,0.1331308160092934,0.2651325432718902,1.498046676407577,0.1666666666666666,0.3333333333333333
linker_family_change,Df_diff,9006,4585,0.3597210378036228,0.3597210378036228,42,0.1064874216259498,0.2200390411511679,2.198968670522554,0.238095238095238,0.4761904761904761
linker_family_change,Dif_diff,9006,4585,0.2659449480199198,0.2659449480199198,42,0.0003927118568559,0.2635664837593817,1.4929811372180035,0.1904761904761904,0.4047619047619047
linker_family_change,Density_diff,9006,4585,1.7087543295011534,1.7087543295011534,42,1.7410340393999544,1.7410340393999544,4.504646405354524,0.0,0.0476190476190476
linker_family_change,UC_volume_diff,9006,4585,0.6968880149893237,0.6968880149893237,42,0.6053976157187269,0.6553487879008542,2.34923044170956,0.0238095238095238,0.0476190476190476
linker_family_change,AVAf_diff,9006,4585,1.007309503467427,1.007309503467427,42,0.7900978143878107,0.799624892549905,9.928372716109678,0.0238095238095238,0.0714285714285714
linker_family_change,POAVAf_diff,9006,4585,0.5695311574307557,0.5695311574307557,42,0.5794190050162815,0.5794190050162815,7.448615924762853,0.1666666666666666,0.2142857142857142
metal_substitution,Di_diff,527,4585,0.2167964541290484,0.2167964541290484,17,0.0249350770328324,0.4347777375110846,4.08779054598237,0.1764705882352941,0.3529411764705882
metal_substitution,Df_diff,527,4585,0.5216743971900006,0.5216743971900006,17,0.4064967705987212,0.7210352787841513,1.7890715507388686,0.0,0.0
metal_substitution,Dif_diff,527,4585,0.098827240719303,0.098827240719303,17,-0.1613192634673847,0.1958502593106755,1.9759100969971728,0.1176470588235294,0.5294117647058824
metal_substitution,Density_diff,527,4585,2.9998216093886825,2.9998216093886825,17,3.614866188995992,3.614866188995992,11.57776427203962,0.0,0.0
metal_substitution,UC_volume_diff,527,4585,1.7474865278833498,1.7474865278833498,17,2.1388854063669385,2.1388854063669385,16.588306526425036,0.0,0.0588235294117647
metal_substitution,AVAf_diff,527,4585,0.0942178195008686,0.0942178195008686,17,0.0437342445881208,0.4844331407881825,2.2847277927049032,0.1764705882352941,0.2941176470588235
metal_substitution,POAVAf_diff,527,4585,-0.3079855203682204,0.3079855203682204,17,-0.3676580120072248,0.4450518442341222,2.679156103887685,0.1176470588235294,0.2352941176470588
functional_motif_change,Di_diff,6,4585,0.5661689028409591,0.5661689028409591,1,0.3296741552998466,0.3296741552998466,0.3296741552998466,0.0,0.0
functional_motif_change,Df_diff,6,4585,0.3938954693911703,0.3938954693911703,1,0.21170835748156,0.21170835748156,0.21170835748156,0.0,0.0
functional_motif_change,Dif_diff,6,4585,0.4159722829498887,0.4159722829498887,1,0.297528623131427,0.297528623131427,0.297528623131427,0.0,0.0
functional_motif_change,Density_diff,6,4585,-0.5617996001915722,0.5617996001915722,1,-0.2093535340920608,0.2093535340920608,0.2093535340920608,0.0,0.0
functional_motif_change,UC_volume_diff,6,4585,-0.5594222354609762,0.5594222354609762,1,-0.2091781867818699,0.2091781867818699,0.2091781867818699,0.0,0.0
functional_motif_change,AVAf_diff,6,4585,0.1691206141075271,0.1691206141075271,1,-0.5509265807895639,0.5509265807895639,0.5509265807895639,0.0,0.0
functional_motif_change,POAVAf_diff,6,4585,-0.5174440816176834,0.5174440816176834,1,-0.4350892549985731,0.4350892549985731,0.4350892549985731,0.0,0.0
