pair_id,case_role,intervention,phase2c_status,recommended_paper_use,method_sensitive_sites_total,same_metal_identity,crystalnn_shell_inventory_same,chemenv_inventory_same,all_atom_charge_wasserstein,heteroatom_charge_wasserstein,abs_delta_heteroatom_number_density_nm3,abs_delta_metal_repeat_charge_median,abs_delta_first_shell_neighbor_charge_mean,abs_delta_default_neighbor_distance_mean_A
DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,strong_linker_process_aligned,linker_family_change,LINKER_CASE_NODE_CONTEXT_ONLY,May show that the metal-node environment is preserved/different and report global electrostatic fingerprints; do not attribute charges to the changed linker without explicit linker atom mapping.,0,True,True,True,0.11045379707792212,0.2110626398601399,5.650532337788167,0.04609250000000009,0.04116430000000004,4.7083996028263186e-05
DB0-m2_o7_o7_f0_nbo.sym.45 || DB0-m3_o7_o7_f0_nbo.sym.48,strong_metal_process_aligned,metal_substitution,ROBUST_METAL_LOCAL_CHEMISTRY,"Suitable for a compact local-coordination + validated REPEAT-charge inset, with descriptive wording only.",0,False,True,False,0.08179037931034482,0.11625005208333333,0.0649284030752657,0.5126775,0.21320206249999996,0.0734837715223906
DB0-m2_o6_o27_f0_nbo.sym.30 || DB0-m3_o6_o27_f0_nbo.sym.33,cu_zn_pressure_exception,metal_substitution,BOUNDARY_METHOD_SENSITIVE,Retain only as a coordination-method boundary/counterexample; do not annotate a robust local coordination mechanism.,8,False,False,False,0.05174982228915665,0.03750193750000001,0.061500027654981304,0.34565100000000015,0.04340867307692303,0.09902141890916338
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,near_null_comparison,linker_family_change,LINKER_CASE_NODE_CONTEXT_ONLY,May show that the metal-node environment is preserved/different and report global electrostatic fingerprints; do not attribute charges to the changed linker without explicit linker atom mapping.,0,True,False,True,0.014874187952767326,0.007223930555555553,0.010183510467427714,0.016272500000000134,0.2029558705128205,0.08741934147605646
DB0-m3_o152_o155_f0_fsc.sym.27 || DB0-m3_o440_o155_f0_fsc.sym.26,process_discordant_comparison,linker_family_change,LINKER_CASE_NODE_CONTEXT_ONLY,May show that the metal-node environment is preserved/different and report global electrostatic fingerprints; do not attribute charges to the changed linker without explicit linker atom mapping.,0,True,True,True,0.04756180952380951,0.06429492857142857,1.7036702749636428,0.001723000000000141,0.011408799999999886,0.0005101674293606084
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_example,functional_motif_change,EXPLORATORY_STRUCTURE_ONLY,Suitable only as an exploratory structure card; no class-level mechanism.,0,True,True,True,0.019313417910447744,0.0413632,0.0003418788847557863,0.019762999999999753,0.0001274999999999471,3.7923382056881394e-07
