intervention,eligible_stringent_pairs,eligible_exact_changes,eligible_framework_variants,selected_pairs,selected_exact_changes,median_covariance_distance,maximum_covariance_distance,selected_fraction
linker_family_change,12392,8540,5742,9095,8540,0.3675348147569907,4.770252102038612,0.7339412524209167
metal_substitution,674,35,526,579,35,0.2413288325357857,3.322557309669435,0.8590504451038575
functional_motif_change,6,6,6,6,6,0.2353013360305849,0.3580632895982378,1.0
