intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status,y
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,30,527,4585,-0.0285272079392567,-0.0522474690289059,0.0256071000399625,0.4,crosses_zero,0
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,30,527,4585,0.0212456702364914,-0.0141096826686892,0.0375768073113336,0.6333333333333333,crosses_zero,1
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,30,527,4585,0.1499094971044945,0.0567749771580444,0.4057401319465291,0.8,above_control,2
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,30,527,4585,0.0217016133189434,-0.0022924512569429,0.0909741183018406,0.6666666666666666,crosses_zero,3
metal_substitution,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,30,527,4585,0.0015400977620483,-0.0148153351820195,0.0319413236182172,0.5666666666666667,crosses_zero,4
metal_substitution,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,30,527,4585,-0.0061258406401116,-0.0349089101136735,0.0132334920896333,0.4666666666666667,crosses_zero,5
metal_substitution,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,30,527,4585,0.1160914823732138,0.05969498653131,0.3910141348878232,0.7333333333333333,above_control,6
metal_substitution,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,30,527,4585,0.0604181240174071,-0.0102458690829799,0.1500281033380263,0.6,crosses_zero,7
metal_substitution,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,30,527,4585,-0.0147522381989225,-0.0252152601490696,0.000702656989278,0.3666666666666666,crosses_zero,8
metal_substitution,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,30,527,4585,0.0007523341905832,-0.0086236918581112,0.0198202079026843,0.5,crosses_zero,9
metal_substitution,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,30,527,4585,0.4089034542542353,0.067946154785065,1.981843496152668,0.7666666666666667,above_control,10
metal_substitution,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,30,527,4585,0.0411875324844579,-0.0004053382857097,0.1483402082728895,0.6666666666666666,crosses_zero,11
metal_substitution,post_combustion_N2,298.0,0.075,standardized_absolute_difference,30,527,4585,0.3335508751458548,0.0579660735122491,1.5678386522753764,0.8,above_control,12
metal_substitution,post_combustion_N2,298.0,0.75,standardized_absolute_difference,30,527,4585,0.320061804961505,0.1475117621899061,1.205701775021386,0.8666666666666667,above_control,13
metal_substitution,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,30,527,4585,0.050023574921616,-0.0126878291224952,0.1175172465808796,0.6333333333333333,crosses_zero,14
metal_substitution,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,30,527,4582,0.004478803071132,-0.045544956637073,0.0310771519173557,0.5,crosses_zero,15
metal_substitution,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,30,527,4585,0.0143377002857784,2.5989789037544203e-05,0.0285627781523936,0.6666666666666666,above_control,16
metal_substitution,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,30,527,4582,-0.0002662496312327,-0.0179228041235399,0.0077520682104318,0.5,crosses_zero,17
