selection_category,role_label,fraction_Di_diff,fraction_Df_diff,fraction_Dif_diff,fraction_Density_diff,fraction_UC_volume_diff,fraction_AVAf_diff,fraction_POAVAf_diff
strong_linker_process_aligned,Strong linker / process aligned,0.8966675970468596,0.4894681525413436,0.8966675970468596,0.5498825905367385,0.344422272640299,0.6700000000000003,0.3833333333333355
strong_metal_process_aligned,Strong metal / process aligned,0.6053075717861089,0.3959965678975478,0.6035409616315213,0.5537935659159674,0.5981622833990502,0.6659999999999999,0.4499999999999985
cu_zn_pressure_exception,Cu-Zn pressure exception,0.8421358251548156,0.5386358832068966,0.1036215052932687,0.4986857018113066,0.6095932640625199,0.1286666666666658,0.0
near_null_comparison,Near-null comparison,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648
process_discordant_comparison,Process-discordant comparison,0.6881192878692985,0.0877506197586949,0.6881192878692985,0.0045841656510444,0.7901356923800409,0.6193333333333328,0.2499999999999984
functional_motif_example,Functional-motif example,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1
