pair_id,role,group,mode,A_mean,A_between_seed_sd,B_mean,B_between_seed_sd,A_over_B,absolute_fold_difference,signed_log2_A_over_B,approx_95ci_log2_low,approx_95ci_log2_high,welch_df_logratio,delta_total_energy_B_minus_A_K_per_CO2,delta_vdw_energy_B_minus_A_K_per_CO2,delta_coulomb_energy_B_minus_A_K_per_CO2
A1,strong_linker,linker_family,gcmc_1bar,3.2913243333333333,0.0154762314641947,1.047502333333333,0.0172267796564922,3.1420687368397275,3.1420687368397275,1.6517147418075064,1.5979330730230212,1.7054964105919916,2.3248314423753933,206.292382273861,307.97792554637886,-101.6857374641762
A2,near_null_linker,linker_family,gcmc_1bar,1.204848,0.004980750244692,1.165959,0.0119580982183623,1.0333536599485915,1.0333536599485915,0.0473340936350753,0.0155709315769434,0.0790972556932071,2.633158530968788,52.51747845719592,42.96848285890826,9.548849267705606
A3,strong_metal,metal_substitution,gcmc_1bar,0.3454575333333333,0.0018381997017008,0.7538087,0.0153960142657117,0.458282762368401,2.182058942893705,-1.1256900730051989,-1.1933249952440896,-1.058055150766308,2.270249928389001,-674.2693393936901,-351.8637683190336,-322.40543032885193
A4,cu_zn_pressure_exception,metal_substitution,gcmc_1bar,0.9377243,0.001324205033218,1.4299893333333331,0.0049390001349801,0.6557561501624255,1.5249571044851171,-0.6087686616807872,-0.6194402628845965,-0.5980970604769779,2.650486069395594,-483.6192419872533,38.012812902688665,-521.6320471534048
B1,confirmatory_strong_linker,linker_family,gcmc_1bar,2.8880546666666667,0.0122798994024109,1.50152,0.0107512066299555,1.923420711456835,1.923420711456835,0.9436743591142756,0.9225450958148598,0.9648036224136916,3.2545392874559598,234.90685272141943,321.57765408806563,-86.67093741954625
B2,confirmatory_near_null_linker,linker_family,gcmc_1bar,1.5120263333333333,0.0100978780609261,1.5072943333333333,0.0013643475852338,1.0031394001127407,1.0031394001127407,0.0045221023379944,-0.0188293188645438,0.0278735235405327,2.0734557579382966,40.59168865992888,-14.819284766983628,55.41081541517013
C1,process_discordant_linker,linker_family,gcmc_1bar,7.664289333333333,0.0049104873824635,7.053185666666667,0.0263497132115951,1.0866422203451611,1.0866422203451611,0.1198770076153912,0.1069904021110449,0.1327636131197375,2.117546235262635,28.549947057518693,79.24113147511935,-50.69127467663773
C2,exploratory_functional_motif,functional_motif,gcmc_1bar,2.113579,0.0119207704868434,2.157149,0.0147270227473172,0.9798020442723244,1.0206143229091509,-0.0294377932048838,-0.0502079447466363,-0.0086676416631313,3.862455303630181,82.85785897415462,25.64758918272992,57.20997866039184
