quantity,intervention,comparison,guest_class,regime,T/K,CO2_target,coguest_target,CO2_pressure_bar,coguest_pressure_bar,measure,paired_groups,status,median_CO2,median_coguest,median_paired_difference_CO2_minus_coguest,median_bootstrap_95_low,median_bootstrap_95_high,mean_paired_difference_CO2_minus_coguest,mean_bootstrap_95_low,mean_bootstrap_95_high,fraction_groups_CO2_greater,fraction_bootstrap_95_low,fraction_bootstrap_95_high,y
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_log_difference,3494,OK,0.1375085974952585,0.081027417825864,0.0502605079468777,0.0440869211778744,0.0551111952623262,0.0670775442747266,0.0622951290229416,0.0718143420623876,0.6900400686891814,0.6742987979393246,0.7054951345163136,0
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_log_difference,3494,OK,0.0730916800698652,0.0499574977255897,0.0198544446454137,0.0172640585284977,0.0220542476739025,0.0213667465194054,0.0180926482780842,0.0246704966090074,0.6376645678305667,0.6213508872352604,0.6536920435031482,1
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_log_difference,3494,OK,0.1448855874798648,0.0751567122253967,0.0592760626086179,0.0539761205042933,0.0641770794823329,0.0807578064131208,0.075809689202382,0.0855669396903178,0.7203777904979966,0.7057813394390383,0.7355466514024042,2
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_log_difference,3494,OK,0.0929705999286798,0.0469033532672516,0.0410393781112782,0.0379549666389797,0.044283294589804,0.0550835829496092,0.051777594214908,0.0584407054567311,0.7355466514024042,0.7209502003434459,0.750429307384087,3
adsorption_separation,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,absolute_log_difference,3494,OK,0.1841983231393283,0.057724121327073,0.1204673673034157,0.1147719901403157,0.127609775018765,0.1575247667894763,0.1513248960082092,0.1638298956332612,0.8225529479107041,0.8096737263880939,0.834859759587865,4
adsorption_separation,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_log_difference,3494,OK,0.1535503255058728,0.0424435531888436,0.1054712766991302,0.0990566942448678,0.111508668803173,0.1387901083392026,0.1334964611366852,0.144152353435108,0.8394390383514596,0.8271322266742988,0.8514596451058958,5
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_log_difference,3494,OK,0.1308399441650193,0.0343663537338617,0.089138090393433,0.0848836572783797,0.0930812512297001,0.115850432476571,0.1108259273631692,0.120982958946071,0.813966800228964,0.8010875787063537,0.8268460217515742,6
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_log_difference,3491,OK,0.0410313539682154,0.0751536900870561,-0.0288430347635502,-0.0316850435639046,-0.0260514261020061,-0.0452828159615097,-0.0482960195215662,-0.0423022127273451,0.3067888857061014,0.2913205385276425,0.3219707820108851,7
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_log_difference,453,OK,0.1319105166518708,0.0490033117822212,0.0749806967014191,0.0608926385794058,0.0899960891158314,0.0817368039950121,0.0682291526987,0.0948821182727746,0.7439293598233996,0.7041942604856513,0.7836644591611479,0
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_log_difference,453,OK,0.0702734469686712,0.0384929704358644,0.0245033268991113,0.0169351384988935,0.0347474245639658,0.0448333020319361,0.0333481480805264,0.0564152838514868,0.6556291390728477,0.6114790286975718,0.6997792494481236,1
