quantity,intervention,comparison,guest_class,regime,T/K,CO2_target,coguest_target,CO2_pressure_bar,coguest_pressure_bar,measure,paired_groups,status,median_CO2,median_coguest,median_paired_difference_CO2_minus_coguest,median_bootstrap_95_low,median_bootstrap_95_high,mean_paired_difference_CO2_minus_coguest,mean_bootstrap_95_low,mean_bootstrap_95_high,fraction_groups_CO2_greater,fraction_bootstrap_95_low,fraction_bootstrap_95_high
adsorption_separation,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_log_difference,3494,OK,0.15355032550587283,0.04244355318884363,0.10547127669913026,0.09905669424486786,0.11150866880317302,0.1387901083392026,0.13349646113668528,0.14415235343510804,0.8394390383514596,0.8271322266742988,0.8514596451058958
adsorption_separation,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,standardized_absolute_difference,3494,OK,0.1272022701496729,0.2104339178785289,-0.03834027076010815,-0.04933828990011773,-0.03040946692658349,-0.006058597741605466,-0.020218574195443494,0.00766046595339327,0.42272467086433885,0.40612478534630797,0.43875214653692046
heat_contrast,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_hoa_difference,3494,OK,0.33683299999999994,0.08925500000000008,0.23143400000000025,0.221225,0.24500499999999992,0.28754752862049227,0.27688499916642817,0.29851034342801946,0.8465941614195764,0.8345735546651403,0.8586147681740126
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_log_difference,3494,OK,0.13083994416501937,0.034366353733861765,0.08913809039343301,0.08488365727837975,0.09308125122970012,0.11585043247657109,0.11082592736316925,0.12098295894607108,0.813966800228964,0.8010875787063537,0.8268460217515742
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,standardized_absolute_difference,3494,OK,0.12483884742703069,0.08580962013935728,0.044650987940046405,0.036962651324159934,0.05227356794348571,0.11157797501578258,0.10211243422940287,0.12111791356467291,0.6345163136805954,0.6182026330852891,0.6508299942759015
heat_contrast,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_hoa_difference,3494,OK,0.30142100000000005,0.030088000000000004,0.26210349999999993,0.25311152499999917,0.27345449999999993,0.33660609058385804,0.3264156947803377,0.3468556344376073,0.9447624499141385,0.9370349170005724,0.95220377790498
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_log_difference,3491,OK,0.041031353968215445,0.07515369008705619,-0.028843034763550213,-0.03168504356390467,-0.02605142610200617,-0.04528281596150978,-0.04829601952156629,-0.04230221272734514,0.3067888857061014,0.2913205385276425,0.32197078201088514
adsorption_separation,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,standardized_absolute_difference,3491,OK,0.11061895032294528,0.06257893964135784,0.03311807467887531,0.02893018620013551,0.03712392389284275,0.02064130269401373,0.014530606387207354,0.02649368388304394,0.6416499570323689,0.6258951589802348,0.6571183042108278
heat_contrast,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_hoa_difference,3491,OK,0.46951800000000077,0.19325899999999985,0.24349250000000044,0.22567200000000032,0.259401,0.4415089782297336,0.41816023319249496,0.4659637645624463,0.7788599255227728,0.7651102835863649,0.7926095674591808
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_log_difference,453,OK,0.13191051665187084,0.04900331178222128,0.07498069670141912,0.060892638579405856,0.08999608911583143,0.08173680399501211,0.06822915269870006,0.09488211827277462,0.7439293598233996,0.7041942604856513,0.7836644591611479
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,standardized_absolute_difference,453,OK,0.19554569267545588,0.14447795390968443,0.05873468472715987,0.03702125002541423,0.09092456114711919,0.10910160739950918,0.07745862399213765,0.14269160179531143,0.6357615894039735,0.5916114790286976,0.6799116997792495
heat_contrast,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_hoa_difference,453,OK,0.27908199999999983,0.07719200000000015,0.19886650000000028,0.1666170000000009,0.224526,0.2700858984547462,0.240262593294702,0.3020710155905077,0.8498896247240618,0.8167770419426048,0.8830022075055187
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_log_difference,453,OK,0.07027344696867122,0.038492970435864415,0.024503326899111333,0.0169351384988935,0.034747424563965845,0.0448333020319361,0.03334814808052642,0.05641528385148689,0.6556291390728477,0.6114790286975718,0.6997792494481236
adsorption_separation,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,standardized_absolute_difference,453,OK,0.1768992751309006,0.15254759743522622,-0.0009727161574519735,-0.013583468648129232,0.018871268807685686,0.007132119048866944,-0.010814957575197766,0.02577448491537956,0.4988962472406181,0.45253863134657835,0.5452538631346578
heat_contrast,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_hoa_difference,453,OK,0.5005819999999996,0.30295000000000005,0.1613380000000002,0.0861430000000003,0.19286700000000012,0.19485866335540838,0.14392851076158936,0.2447892551324503,0.6644591611479028,0.6181015452538632,0.7086092715231788
adsorption_separation,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_log_difference,453,OK,0.11295480667224489,0.05001066359881512,0.06290078272988389,0.0487821131258771,0.07497084879448801,0.09362455669300614,0.07995754101140555,0.10770770407728425,0.7748344370860927,0.7373068432671082,0.8123620309050773
adsorption_separation,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,standardized_absolute_difference,453,OK,0.13191206358720078,0.09450526214589801,0.042309291881646956,0.027607584334191533,0.06048934183317374,0.09263396143465014,0.0685943077292248,0.11923734251462012,0.6335540838852097,0.5894039735099338,0.6777041942604857
heat_contrast,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_hoa_difference,453,OK,0.43596199999999996,0.11624100000000004,0.27820800000000023,0.23876900000000045,0.32293400000000005,0.3415701004415011,0.30250718807947025,0.3831031076434878,0.8123620309050773,0.7748344370860927,0.847682119205298
adsorption_separation,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_log_difference,453,OK,0.09182688986750387,0.03175557932304107,0.05199692224113872,0.04330578691290721,0.06574881002714128,0.10614721114350709,0.09225848901736412,0.12061696302254682,0.7770419426048565,0.7373068432671082,0.8145695364238411
adsorption_separation,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,standardized_absolute_difference,453,OK,0.21392497883986486,0.11766723471287793,0.060346771761527446,0.0430767986532723,0.08586349584540509,0.09677789963233048,0.07899773682653188,0.11612080981959641,0.6556291390728477,0.6114790286975718,0.6975717439293598
heat_contrast,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_hoa_difference,453,OK,0.7570390000000007,0.3411550000000001,0.3527574999999994,0.27025200000000016,0.430763,0.37955483222958053,0.31428340309050773,0.4475148408940397,0.7417218543046358,0.7019867549668874,0.7814569536423841
adsorption_separation,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,absolute_log_difference,453,OK,0.1616157627948825,0.053922482398549576,0.09188614357591307,0.07759978618509211,0.10643732894745817,0.12516559437831398,0.10810763472571625,0.1426602733436076,0.7991169977924945,0.7615894039735099,0.8366445916114791
adsorption_separation,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,standardized_absolute_difference,453,OK,0.24170282004847465,0.2850687281213534,-0.04128753180730421,-0.088417454074006,0.007261391172393272,-0.28887469708858465,-0.8248860077807338,0.03400148344280434,0.45916114790286977,0.41280353200883,0.5055187637969095
heat_contrast,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,absolute_hoa_difference,453,OK,0.3268120000000003,0.08367000000000013,0.20057599999999942,0.16835400000000034,0.22717699999999974,0.27887040397351,0.2433194083057395,0.314548772875276,0.847682119205298,0.8145695364238411,0.8807947019867549
adsorption_separation,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_log_difference,453,OK,0.12316046297663819,0.04398955447606445,0.07370284189975174,0.06007887257493971,0.08621440095747401,0.09545684722955057,0.08132975414980603,0.10973899780689754,0.7836644591611479,0.7461368653421634,0.8211920529801324
adsorption_separation,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,standardized_absolute_difference,453,OK,0.133107232714648,0.2185876817792985,-0.07103407148241096,-0.09689048963275401,-0.04762254868082766,-0.3295125994766031,-0.5442477119594477,-0.177450909995907,0.3995584988962472,0.3554083885209713,0.44370860927152317
heat_contrast,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_hoa_difference,453,OK,0.32261000000000006,0.09851900000000002,0.19826699999999997,0.16347,0.2286119999999996,0.2698736997792494,0.23118749575055184,0.30914336487306837,0.8410596026490066,0.8079470198675497,0.8741721854304636
adsorption_separation,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_log_difference,453,OK,0.11263453404826362,0.03174979528731381,0.07218351907005749,0.0608664409721269,0.0859417236276388,0.10723485399530845,0.0930137564845467,0.12131948194645549,0.8167770419426048,0.7814569536423841,0.8498896247240618
adsorption_separation,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,standardized_absolute_difference,453,OK,0.12904073696173463,0.06691504350897481,0.06017503045297242,0.047188406209567504,0.0787793314712853,0.09137983442463155,0.07405433347694135,0.10968131109043479,0.7041942604856513,0.6622516556291391,0.7483443708609272
heat_contrast,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_hoa_difference,453,OK,0.3143045,0.026337999999999973,0.27680000000000016,0.24107299999999965,0.3015690000000004,0.3623364470198676,0.3304372837748345,0.3945496580022075,0.9558498896247241,0.9359823399558499,0.9735099337748344
adsorption_separation,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_log_difference,452,OK,0.037797513977344877,0.06122158913182163,-0.01645301501175317,-0.030709400449768887,-0.007839080863170407,-0.015554143589541386,-0.02564975156376466,-0.005411446752967797,0.42035398230088494,0.37610619469026546,0.4646017699115044
adsorption_separation,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,standardized_absolute_difference,452,OK,0.08751600598721321,0.03202936353273749,0.05619098344701282,0.04722122867391161,0.06611488802176041,0.08581309887546548,0.0683445736927717,0.10284551897418864,0.7743362831858407,0.7345132743362832,0.8119469026548672
heat_contrast,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_hoa_difference,452,OK,0.5365205,0.17391475,0.3697665,0.3270200000000001,0.4163236937499997,0.6493616769911504,0.5176007190265487,0.8377973879701327,0.8429203539823009,0.8097345132743363,0.8761061946902655
