intervention,process,metric,groups,statistic,estimate,bootstrap_95_low,bootstrap_95_high
linker_family_change,methane-storage-psa,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.8347085852392411,0.8230976047680569,0.8458496920150368
linker_family_change,methane-storage-psa,uptake_selectivity_concordant,0,equal_weight_group_mean,,,
linker_family_change,natural-gas-purification,absolute_uptake_difference,3491,equal_weight_group_median,0.23126999999999942,0.2219819999999999,0.2416655000000001
linker_family_change,natural-gas-purification,absolute_working_capacity_difference,3485,equal_weight_group_median,0.21226899999999993,0.20346299999999995,0.22306199999999987
linker_family_change,natural-gas-purification,absolute_selectivity_difference,3491,equal_weight_group_median,0.41742900000000027,0.4012380000000002,0.4393260000000003
linker_family_change,natural-gas-purification,working_capacity_change_oriented_by_uptake,3485,equal_weight_group_median,0.1989430000000001,0.18975700000000018,0.2100884999999999
linker_family_change,natural-gas-purification,selectivity_change_oriented_by_uptake,3491,equal_weight_group_median,0.3857669999999995,0.3676140000000001,0.406809
linker_family_change,natural-gas-purification,uptake_working_capacity_concordant,3485,equal_weight_group_mean,0.9012167539493756,0.8918394047452448,0.9103862843569441
linker_family_change,natural-gas-purification,uptake_selectivity_concordant,3491,equal_weight_group_mean,0.8620256415334966,0.8510258965574004,0.8724218790240829
linker_family_change,post-combustion-vsa,absolute_uptake_difference,3491,equal_weight_group_median,0.09118850000000003,0.086502,0.09589999999999987
linker_family_change,post-combustion-vsa,absolute_working_capacity_difference,3491,equal_weight_group_median,0.08377800000000002,0.07900799999999997,0.088535
linker_family_change,post-combustion-vsa,absolute_selectivity_difference,3491,equal_weight_group_median,2.03091,1.8524250000000002,2.23619
linker_family_change,post-combustion-vsa,working_capacity_change_oriented_by_uptake,3491,equal_weight_group_median,0.07972700000000005,0.07338,0.08408599999999994
linker_family_change,post-combustion-vsa,selectivity_change_oriented_by_uptake,3491,equal_weight_group_median,1.676655000000002,1.5416000000000025,1.8373650000000001
linker_family_change,post-combustion-vsa,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.9291726829698154,0.9212089799322808,0.9370634907054852
linker_family_change,post-combustion-vsa,uptake_selectivity_concordant,3491,equal_weight_group_mean,0.8428033583827281,0.831334877193124,0.8538632391169231
linker_family_change,pre-combustion-40-40,absolute_uptake_difference,3491,equal_weight_group_median,0.6672130000000003,0.6450369999999985,0.6903005000000002
linker_family_change,pre-combustion-40-40,absolute_working_capacity_difference,3491,equal_weight_group_median,0.750808000000001,0.7297158125000001,0.7734050000000003
linker_family_change,pre-combustion-40-40,absolute_selectivity_difference,3491,equal_weight_group_median,5.170190999999999,4.857992999999993,5.667849512500002
linker_family_change,pre-combustion-40-40,working_capacity_change_oriented_by_uptake,3491,equal_weight_group_median,0.7350249999999985,0.6980539999999991,0.7546279999999967
linker_family_change,pre-combustion-40-40,selectivity_change_oriented_by_uptake,3491,equal_weight_group_median,1.8656369999999995,1.6811235999999987,2.0955450000000013
linker_family_change,pre-combustion-40-40,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.9055562517500776,0.8965011624778492,0.9146879784155739
linker_family_change,pre-combustion-40-40,uptake_selectivity_concordant,3491,equal_weight_group_mean,0.6998805233609544,0.685752321466482,0.7140723847469337
metal_substitution,landfill-gas-vpsa,absolute_uptake_difference,452,equal_weight_group_median,0.31819949999999997,0.2874450000000002,0.3443860000000001
