target,T/K,p/bar,effect_measure,status,mixed_support_cells,chemistry_pairs,control_pairs,unadjusted_linker_minus_control,unadjusted_bootstrap_95_low,unadjusted_bootstrap_95_high,adjusted_linker_minus_control,adjusted_bootstrap_95_low,adjusted_bootstrap_95_high,adjustment_change,relative_adjustment_change,adjusted_design_condition_number,failed_bootstrap_replicates
landfill_CH4,338.0,0.01,absolute_log_difference,OK,36,4337,4585,0.027840349187632927,0.018227601772145545,0.0382517002188789,0.022396012574533556,0.008096272101094735,0.03706412070321219,-0.005444336613099371,-0.19555561521181716,11.806935635574932,0
landfill_CH4,338.0,4.4,absolute_log_difference,OK,36,4337,4585,0.014647880201692722,0.008364028278927474,0.02073564111721115,0.012979492220764463,0.005084250285836959,0.021262777625407018,-0.001668387980928259,-0.11389961946408182,11.806935635574932,0
landfill_CO2,338.0,0.26,absolute_log_difference,OK,36,4337,4585,0.046150372791065854,0.02886553419507745,0.06543108413475085,0.026766332072150602,0.007068407031120342,0.048280854983261304,-0.019384040718915252,-0.4200191579528858,11.806935635574932,0
landfill_CO2,338.0,3.2,absolute_log_difference,OK,36,4337,4585,0.025284197193005033,0.01797490525064602,0.03261735334444706,0.016117077336912384,0.0063181475123603795,0.024207323774341642,-0.00916711985609265,-0.3625632163092276,11.806935635574932,0
methane_purification_CH4,298.0,0.9,absolute_log_difference,OK,36,4337,4585,0.04005557743808009,0.02542475840887058,0.0561196326585218,0.02595109414615729,0.014998297855231733,0.037945795661651356,-0.0141044832919228,-0.3521228301782995,11.806935635574932,0
methane_purification_CH4,298.0,9.0,absolute_log_difference,OK,36,4337,4585,0.01603189404383913,0.010485246751732768,0.021790125953805594,0.016761862071029896,0.009583152727073309,0.0248360118889645,0.0007299680271907645,0.04553223874825212,11.806935635574932,0
methane_purification_CO2,298.0,0.1,absolute_log_difference,OK,36,4337,4585,0.04905487536354775,0.03194912628870845,0.06830892614792347,0.024018354884579908,0.008511680041637807,0.03964141796322605,-0.025036520478967844,-0.5103778226612775,11.806935635574932,0
methane_purification_CO2,298.0,1.0,absolute_log_difference,OK,36,4337,4585,0.02005161708515411,0.011511085234940347,0.028674364736555175,0.015550482714794771,0.005595895986247812,0.025285212100467195,-0.004501134370359339,-0.22447737512860774,11.806935635574932,0
methane_storage_CH4,298.0,5.8,absolute_log_difference,OK,36,4337,4585,0.029865631316989574,0.022394261118222816,0.038376953859352456,0.021528353409831804,0.01388277466447623,0.02952669694942615,-0.00833727790715777,-0.2791596071975538,11.806935635574932,0
methane_storage_CH4,298.0,65.0,absolute_log_difference,OK,36,4337,4585,0.01247585391776287,0.008797199929709374,0.01639355280985725,0.0031073008681323008,-0.00030940220658118246,0.0066685337402931635,-0.009368553049630569,-0.7509348146736322,11.806935635574932,0
