intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
functional_motif_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,5,6,4585,-0.009287164527423925,-0.20809544924154272,0.3961998833138826,0.4,crosses_zero
functional_motif_change,post_combustion_N2,298.0,0.75,absolute_uptake_difference,5,6,4585,-0.001024000000000004,-0.006407999999999997,0.008818999999999966,0.4,crosses_zero
functional_motif_change,post_combustion_N2,298.0,0.75,absolute_log_difference,5,6,4585,-0.00637370120319658,-0.03593869166422303,0.04794086014754462,0.4,crosses_zero
functional_motif_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,5,6,4585,-0.031096663815226896,-0.19459709153122337,0.26781394354148735,0.4,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,0.4,absolute_uptake_difference,5,6,4585,0.04317599999999999,-0.03769600000000006,0.203167,0.8,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,5,6,4585,0.057268942752082316,-0.08590393277468622,0.18477957373132126,0.8,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,5,6,4585,0.04124840164846516,-0.03601305698861742,0.19409658184439788,0.8,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,16.0,absolute_uptake_difference,5,6,4582,-0.12010099999999824,-0.29660300000000106,0.4397974999999983,0.4,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,5,6,4582,-0.010888344588781962,-0.018413815500031294,0.028526259655796915,0.4,crosses_zero
functional_motif_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,5,6,4582,-0.019911852066335417,-0.04917457022365668,0.0729151527393131,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,0.6,absolute_uptake_difference,5,6,4585,-0.0006049999999999944,-0.0010120000000000129,0.004286499999999999,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,5,6,4585,-0.007993100348714144,-0.01921813953538276,0.03847022065889716,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,5,6,4585,-0.020965096490382924,-0.03506888867482308,0.1485403076132678,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,24.0,absolute_uptake_difference,5,6,4582,-0.008116000000000012,-0.014462000000000058,0.029347500000000002,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,5,6,4582,-0.0037107186165396544,-0.0340856785160005,0.13417153027118123,0.4,crosses_zero
functional_motif_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,5,6,4582,-0.015164084260271132,-0.027021067837856294,0.05483341089555279,0.4,crosses_zero
linker_family_change,landfill_CH4,338.0,0.01,absolute_uptake_difference,61,9006,4585,0.00024100000000000033,0.00012750000000000088,0.00029350000000000036,0.6721311475409836,above_control
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,61,9006,4585,0.014333587162124406,0.0034007527711699126,0.026724565462546312,0.6885245901639344,above_control
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,61,9006,4585,0.04330744638337556,0.022911615825229936,0.06082809377913952,0.6721311475409836,above_control
linker_family_change,landfill_CH4,338.0,4.4,absolute_uptake_difference,61,9006,4585,0.02216749999999995,0.013300500000000048,0.030286499999999994,0.8032786885245902,above_control
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,61,9006,4585,0.012849325330026251,0.007246315490176514,0.018099432449142416,0.7704918032786885,above_control
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,61,9006,4585,0.05409952271178209,0.03159212006333631,0.0739138466047318,0.8032786885245902,above_control
linker_family_change,landfill_CO2,338.0,0.26,absolute_uptake_difference,61,9006,4585,0.008332999999999965,0.00048400000000003995,0.014364999999999975,0.639344262295082,above_control
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,61,9006,4585,0.030970812526424307,0.00874851582633454,0.0460486839574875,0.7213114754098361,above_control
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,61,9006,4585,0.024630348139886876,0.0014867472836149337,0.042726175949881796,0.639344262295082,above_control
linker_family_change,landfill_CO2,338.0,3.2,absolute_uptake_difference,61,9006,4585,0.06096350000000039,0.045070000000000165,0.09183799999999964,0.7540983606557377,above_control
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,61,9006,4585,0.01821413238414804,0.01411215369053926,0.02677734136669907,0.7377049180327869,above_control
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,61,9006,4585,0.03377989055595913,0.0249732982416868,0.050887458706900694,0.7540983606557377,above_control
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_uptake_difference,61,9006,4585,0.01868049999999996,0.010829000000000005,0.024590500000000015,0.7540983606557377,above_control
