intervention,process,metric,groups,statistic,estimate,bootstrap_95_low,bootstrap_95_high
metal_substitution,methane-storage-psa,selectivity_change_oriented_by_uptake,0,equal_weight_group_median,,,
metal_substitution,methane-storage-psa,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.9167807978648688,0.8928130267593762,0.9388100505689002
metal_substitution,methane-storage-psa,uptake_selectivity_concordant,0,equal_weight_group_mean,,,
metal_substitution,natural-gas-purification,absolute_uptake_difference,452,equal_weight_group_median,0.3110779999999999,0.281094,0.3339364999999999
metal_substitution,natural-gas-purification,absolute_working_capacity_difference,442,equal_weight_group_median,0.2881665,0.258569325,0.3130739999999998
metal_substitution,natural-gas-purification,absolute_selectivity_difference,452,equal_weight_group_median,0.6804810000000006,0.620244,0.7477042500000001
metal_substitution,natural-gas-purification,working_capacity_change_oriented_by_uptake,442,equal_weight_group_median,0.2735099999999998,0.2505969999999999,0.3127590000000002
metal_substitution,natural-gas-purification,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,0.6674849999999999,0.5907149999999999,0.7259600249999999
metal_substitution,natural-gas-purification,uptake_working_capacity_concordant,442,equal_weight_group_mean,0.9247693194925029,0.9022613898500575,0.9458769186407594
metal_substitution,natural-gas-purification,uptake_selectivity_concordant,452,equal_weight_group_mean,0.91725400337126,0.8931028102612726,0.9400819110830172
metal_substitution,post-combustion-vsa,absolute_uptake_difference,452,equal_weight_group_median,0.0946329999999999,0.0831824999999998,0.1117
metal_substitution,post-combustion-vsa,absolute_working_capacity_difference,451,equal_weight_group_median,0.0911529999999999,0.078804,0.1030769999999999
metal_substitution,post-combustion-vsa,absolute_selectivity_difference,452,equal_weight_group_median,2.923745,2.4752175000000003,3.5142074999999977
metal_substitution,post-combustion-vsa,working_capacity_change_oriented_by_uptake,451,equal_weight_group_median,0.0844125,0.073319,0.096915
metal_substitution,post-combustion-vsa,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,2.39035,1.7983384375000004,2.9443825
metal_substitution,post-combustion-vsa,uptake_working_capacity_concordant,451,equal_weight_group_mean,0.9253088375039594,0.902473075704783,0.946004117833386
metal_substitution,post-combustion-vsa,uptake_selectivity_concordant,452,equal_weight_group_mean,0.8403023598820059,0.8082955383480825,0.8705023967551623
metal_substitution,pre-combustion-40-40,absolute_uptake_difference,452,equal_weight_group_median,0.5278645000000015,0.4829350000000003,0.5854710000000019
metal_substitution,pre-combustion-40-40,absolute_working_capacity_difference,452,equal_weight_group_median,0.6247699999999998,0.5767619999999989,0.6890917500000002
metal_substitution,pre-combustion-40-40,absolute_selectivity_difference,452,equal_weight_group_median,6.757915499999996,5.8140730000000005,8.020383
metal_substitution,pre-combustion-40-40,working_capacity_change_oriented_by_uptake,452,equal_weight_group_median,0.6220374999999994,0.5693389999999994,0.6890917500000002
metal_substitution,pre-combustion-40-40,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,1.6248914999999993,1.094048,2.1902739999999987
metal_substitution,pre-combustion-40-40,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.8933154235145384,0.8661759903076275,0.9191268963337548
metal_substitution,pre-combustion-40-40,uptake_selectivity_concordant,452,equal_weight_group_mean,0.6825712881022616,0.6424775688298918,0.722359267453294
