intervention,geometry_variable,chemistry_pairs,control_pairs,global_smd,absolute_global_smd,mixed_cells_with_estimable_smd,median_cell_smd,median_absolute_cell_smd,maximum_absolute_cell_smd,fraction_cells_abs_smd_below_0_10,fraction_cells_abs_smd_below_0_20
linker_family_change,Di_diff,9006,4585,0.33603185655721596,0.33603185655721596,42,0.13313081600929347,0.2651325432718902,1.498046676407577,0.16666666666666666,0.3333333333333333
linker_family_change,Df_diff,9006,4585,0.35972103780362286,0.35972103780362286,42,0.1064874216259498,0.22003904115116796,2.198968670522554,0.23809523809523808,0.47619047619047616
linker_family_change,Dif_diff,9006,4585,0.2659449480199198,0.2659449480199198,42,0.0003927118568559738,0.26356648375938174,1.4929811372180035,0.19047619047619047,0.40476190476190477
linker_family_change,Density_diff,9006,4585,1.7087543295011534,1.7087543295011534,42,1.7410340393999544,1.7410340393999544,4.504646405354524,0.0,0.047619047619047616
linker_family_change,UC_volume_diff,9006,4585,0.6968880149893237,0.6968880149893237,42,0.6053976157187269,0.6553487879008542,2.34923044170956,0.023809523809523808,0.047619047619047616
linker_family_change,AVAf_diff,9006,4585,1.0073095034674273,1.0073095034674273,42,0.7900978143878107,0.799624892549905,9.928372716109678,0.023809523809523808,0.07142857142857142
linker_family_change,POAVAf_diff,9006,4585,0.5695311574307557,0.5695311574307557,42,0.5794190050162815,0.5794190050162815,7.448615924762853,0.16666666666666666,0.21428571428571427
metal_substitution,Di_diff,527,4585,0.21679645412904847,0.21679645412904847,17,0.024935077032832438,0.4347777375110846,4.08779054598237,0.17647058823529413,0.35294117647058826
metal_substitution,Df_diff,527,4585,0.5216743971900006,0.5216743971900006,17,0.40649677059872125,0.7210352787841513,1.7890715507388686,0.0,0.0
metal_substitution,Dif_diff,527,4585,0.09882724071930303,0.09882724071930303,17,-0.16131926346738476,0.19585025931067554,1.9759100969971732,0.11764705882352941,0.5294117647058824
metal_substitution,Density_diff,527,4585,2.9998216093886825,2.9998216093886825,17,3.614866188995992,3.614866188995992,11.57776427203962,0.0,0.0
metal_substitution,UC_volume_diff,527,4585,1.7474865278833498,1.7474865278833498,17,2.1388854063669385,2.1388854063669385,16.588306526425036,0.0,0.058823529411764705
metal_substitution,AVAf_diff,527,4585,0.09421781950086867,0.09421781950086867,17,0.04373424458812087,0.4844331407881825,2.2847277927049032,0.17647058823529413,0.29411764705882354
metal_substitution,POAVAf_diff,527,4585,-0.3079855203682204,0.3079855203682204,17,-0.36765801200722487,0.44505184423412225,2.679156103887685,0.11764705882352941,0.23529411764705882
functional_motif_change,Di_diff,6,4585,0.5661689028409591,0.5661689028409591,1,0.32967415529984667,0.32967415529984667,0.32967415529984667,0.0,0.0
functional_motif_change,Df_diff,6,4585,0.39389546939117037,0.39389546939117037,1,0.21170835748156008,0.21170835748156008,0.21170835748156008,0.0,0.0
functional_motif_change,Dif_diff,6,4585,0.41597228294988875,0.41597228294988875,1,0.29752862313142703,0.29752862313142703,0.29752862313142703,0.0,0.0
functional_motif_change,Density_diff,6,4585,-0.5617996001915722,0.5617996001915722,1,-0.20935353409206087,0.20935353409206087,0.20935353409206087,0.0,0.0
functional_motif_change,UC_volume_diff,6,4585,-0.5594222354609762,0.5594222354609762,1,-0.20917818678186992,0.20917818678186992,0.20917818678186992,0.0,0.0
functional_motif_change,AVAf_diff,6,4585,0.16912061410752713,0.16912061410752713,1,-0.5509265807895639,0.5509265807895639,0.5509265807895639,0.0,0.0
functional_motif_change,POAVAf_diff,6,4585,-0.5174440816176834,0.5174440816176834,1,-0.4350892549985731,0.4350892549985731,0.4350892549985731,0.0,0.0
