selection_category,pair_key,id_a,id_b,topology,intervention,transition,Di_a,Di_b,Di_difference,Di_caliper,Di_fraction_of_caliper,Df_a,Df_b,Df_difference,Df_caliper,Df_fraction_of_caliper,Dif_a,Dif_b,Dif_difference,Dif_caliper,Dif_fraction_of_caliper,Density_a,Density_b,Density_difference,Density_caliper,Density_fraction_of_caliper,UC_volume_a,UC_volume_b,UC_volume_difference,UC_volume_caliper,UC_volume_fraction_of_caliper,AVAf_a,AVAf_b,AVAf_difference,AVAf_caliper,AVAf_fraction_of_caliper,POAVAf_a,POAVAf_b,POAVAf_difference,POAVAf_caliper,POAVAf_fraction_of_caliper,maximum_fraction_of_caliper
cu_zn_pressure_exception,DB0-m2_o6_o27_f0_nbo.sym.30 || DB0-m3_o6_o27_f0_nbo.sym.33,DB0-m3_o6_o27_f0_nbo.sym.33,DB0-m2_o6_o27_f0_nbo.sym.30,nbo,metal_substitution,Cu <-> Zn,26.50696,25.84564,0.025264074754644466,0.03,0.8421358251548156,18.00236,17.71379,0.016159076496206896,0.03,0.5386358832068966,25.92611,25.84564,0.0031086451587980634,0.03,0.10362150529326879,0.165115,0.169284,0.024934285090565333,0.05,0.49868570181130667,40260.3,39051.6,0.030479663203126,0.05,0.6095932640625199,0.76868,0.76482,0.0038599999999999746,0.03,0.12866666666666582,0.9,0.9,0.0,0.03,0.0,0.8421358251548156
functional_motif_example,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,sra,functional_motif_change,-2360 <-> 15980,10.90985,10.97292,0.005764352501991268,0.03,0.19214508339970895,10.27078,10.41016,0.01347907783688741,0.03,0.4493025945629137,10.90985,10.94787,0.003478862388208788,0.03,0.1159620796069596,0.766091,0.766062,3.7855227252037794e-05,0.05,0.0007571045450407559,3326.81,3326.94,3.907570918658174e-05,0.05,0.0007815141837316348,0.24406,0.2525,0.008440000000000003,0.03,0.28133333333333344,0.5215,0.5245,0.0030000000000000027,0.03,0.10000000000000009,0.4493025945629137
near_null_comparison,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,nbo,linker_family_change,40141 <-> 43459,26.27492,26.25234,0.0008597440643201788,0.03,0.028658135477339294,16.42732,16.37678,0.0030813221518042914,0.03,0.10271073839347639,26.27492,26.25234,0.0008597440643201788,0.03,0.028658135477339294,0.171503,0.170643,0.005027093696842867,0.05,0.10054187393685733,46923.8,46614.4,0.006615479023543353,0.05,0.13230958047086705,0.74778,0.7522,0.0044199999999999795,0.03,0.14733333333333265,0.8665,0.867,0.0004999999999999449,0.03,0.01666666666666483,0.14733333333333265
process_discordant_comparison,DB0-m3_o152_o155_f0_fsc.sym.27 || DB0-m3_o440_o155_f0_fsc.sym.26,DB0-m3_o440_o155_f0_fsc.sym.26,DB0-m3_o152_o155_f0_fsc.sym.27,fsc,linker_family_change,55140 <-> 60577,7.77578,7.6169,0.020643578636078956,0.03,0.6881192878692985,5.23001,5.21626,0.0026325185927608473,0.03,0.08775061975869491,7.77578,7.6169,0.020643578636078956,0.03,0.6881192878692985,0.811396,0.811582,0.00022920828255222126,0.05,0.004584165651044425,2016.7,1938.57,0.03950678461900205,0.05,0.7901356923800409,0.12592,0.1445,0.018579999999999985,0.03,0.6193333333333328,0.515,0.5225,0.007499999999999951,0.03,0.2499999999999984,0.7901356923800409
strong_linker_process_aligned,DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,pcu,linker_family_change,-49301 <-> -6941,9.25893,9.01317,0.026900027911405788,0.03,0.8966675970468596,7.78417,7.6707,0.014684044576240307,0.03,0.4894681525413436,9.25893,9.01317,0.026900027911405788,0.03,0.8966675970468596,0.660249,0.678655,0.027494129526836927,0.05,0.5498825905367385,1660.41,1632.06,0.01722111363201495,0.05,0.344422272640299,0.24956,0.26966,0.020100000000000007,0.03,0.6700000000000003,0.65,0.6385,0.011500000000000066,0.03,0.3833333333333355,0.8966675970468596
strong_metal_process_aligned,DB0-m2_o7_o7_f0_nbo.sym.45 || DB0-m3_o7_o7_f0_nbo.sym.48,DB0-m3_o7_o7_f0_nbo.sym.48,DB0-m2_o7_o7_f0_nbo.sym.45,nbo,metal_substitution,Cu <-> Zn,28.86724,28.34775,0.018159227153583268,0.03,0.6053075717861089,16.90976,16.71006,0.011879897036926433,0.03,0.3959965678975478,28.86571,28.34775,0.018106228848945638,0.03,0.6035409616315213,0.369857,0.380242,0.027689678295798374,0.05,0.5537935659159674,44890.2,43567.4,0.02990811416995251,0.05,0.5981622833990502,0.70286,0.72284,0.019979999999999998,0.03,0.6659999999999999,0.8465,0.86,0.013499999999999956,0.03,0.44999999999999857,0.6659999999999999
